sku,product_name,category,group,subgroup,brand,base_price,initial_ticket_price,costos
ELECOLA001,TechPro Laptops Smart 2025,Electronics,Computing,Laptops,TechPro,2.503233701327588,2.629685782322853,2.8450336672723853
ELECOLA002,Electra Laptops Ultra Pro,Electronics,Computing,Laptops,Electra,2.8178239304569592,2.6063143746319413,2.596184981586571
ELECOLA003,CircuitCity Laptops Air 2024,Electronics,Computing,Laptops,CircuitCity,2.0588998633828677,2.105874107450289,2.3233149401216213
ELECOLA004,TechPro Laptops Elite 2025,Electronics,Computing,Laptops,TechPro,2.971433811768549,3.26606973757331,2.631353502465828
ELECOLA005,CircuitCity Laptops Pro S,Electronics,Computing,Laptops,CircuitCity,3.1459851772802714,2.9324428927855415,2.9378220415564966
ELECOLA006,Electra Laptops Edge XL,Electronics,Computing,Laptops,Electra,2.234855127276722,2.2456156492688666,2.1608175333804107
ELECOLA007,Electra Laptops Smart 10,Electronics,Computing,Laptops,Electra,2.583723875236479,2.6450719590527036,2.4774912236190785
ELECOLA008,TechPro Laptops Max Pro,Electronics,Computing,Laptops,TechPro,2.1732005899947664,2.104608156200365,2.0959755730092806
ELECOLA009,ByteWare Laptops Smart 2025,Electronics,Computing,Laptops,ByteWare,2.6176514194713314,2.442909282526315,2.8519417695879534
ELECODE001,Innovate Desktops Ultra XL,Electronics,Computing,Desktops,Innovate,2.699311508698665,2.43034715089245,2.799031985943714
ELECODE002,TechPro Desktops Plus S,Electronics,Computing,Desktops,TechPro,2.830225032832457,2.5626877469422387,2.618165307136106
ELECODE003,Innovate Desktops Pro Pro,Electronics,Computing,Desktops,Innovate,3.3094223472667843,3.5188704640966737,3.7151405543832894
ELECODE004,ByteWare Desktops Ultra XL,Electronics,Computing,Desktops,ByteWare,2.4049608145783608,2.5021168486766254,2.1851528938102542
ELECODE005,TechPro Desktops Smart 11,Electronics,Computing,Desktops,TechPro,2.5953060368890664,2.5902465318444388,2.3716716563305993
ELECODE006,CircuitCity Desktops Elite Pro,Electronics,Computing,Desktops,CircuitCity,2.025674268339081,1.9092621402504923,2.313266791298976
ELECODE007,TechPro Desktops Elite 3,Electronics,Computing,Desktops,TechPro,2.9074394438497073,2.917251477786449,2.7943219161830997
ELECODE008,Innovate Desktops Elite 4,Electronics,Computing,Desktops,Innovate,2.7449382061179497,3.02183852720328,2.5509683118846693
ELECODE009,TechPro Desktops Smart XL,Electronics,Computing,Desktops,TechPro,3.065495003371381,3.31875278574324,3.4344203966506486
ELECODE010,Innovate Desktops Plus X,Electronics,Computing,Desktops,Innovate,2.816771006670361,2.5643432216536786,3.1574682947264994
ELECODE011,Electra Desktops Smart Pro,Electronics,Computing,Desktops,Electra,2.2525208485852137,2.1609916772546893,2.016532396380245
ELECOTA001,CircuitCity Tablets Max S,Electronics,Computing,Tablets,CircuitCity,2.5230052702092776,2.7042795252030136,2.4076251888366254
ELECOTA002,Electra Tablets Mini XL,Electronics,Computing,Tablets,Electra,2.478197513512904,2.499584946176776,2.3724566679573686
ELECOTA003,Innovate Tablets Edge 2025,Electronics,Computing,Tablets,Innovate,2.1751894460361196,1.960484475439741,2.4063691702337953
ELECOTA004,Innovate Tablets Pro 2025,Electronics,Computing,Tablets,Innovate,3.3627704857877943,3.1493100799841285,3.6088499801187495
ELECOTA005,TechPro Tablets Plus XL,Electronics,Computing,Tablets,TechPro,1.9850782067891029,2.0804577015864223,2.2173383705077887
ELECOTA006,Innovate Tablets Elite S,Electronics,Computing,Tablets,Innovate,3.000798686261473,2.726384981644001,3.2359694574034124
ELECOTA007,Innovate Tablets Mini XL,Electronics,Computing,Tablets,Innovate,2.4806543356816344,2.6785709767430106,2.26459607043929
ELECOTA008,ByteWare Tablets Smart 2025,Electronics,Computing,Tablets,ByteWare,2.852453423882878,2.5822613008833772,2.7569553627488887
ELECOTA009,Electra Tablets Edge S,Electronics,Computing,Tablets,Electra,2.413969162530373,2.53581062809769,2.3416842121880186
ELEMOSM001,CircuitCity Smartphones Air X,Electronics,Mobile,Smartphones,CircuitCity,2.872458975828256,2.852687964040305,3.1904387830508028
ELEMOSM002,Electra Smartphones Edge XL,Electronics,Mobile,Smartphones,Electra,2.1452396138839744,2.2726875298441733,2.3220589215187903
ELEMOSM003,TechPro Smartphones Pro 15,Electronics,Mobile,Smartphones,TechPro,2.76529473265886,2.759104952411278,2.9938718717078125
ELEMOSM004,TechPro Smartphones Max 5,Electronics,Mobile,Smartphones,TechPro,2.711244644946786,2.428983818777146,2.693369420980589
ELEMOSM005,ByteWare Smartphones Ultra XL,Electronics,Mobile,Smartphones,ByteWare,2.1288607994257696,2.194295933214239,1.8992516593409365
ELEMOSM006,ByteWare Smartphones Mini S,Electronics,Mobile,Smartphones,ByteWare,2.4186488238041455,2.6369893472262627,2.466030053868249
ELEMOSM007,Innovate Smartphones Pro Pro,Electronics,Mobile,Smartphones,Innovate,2.327395428965578,2.4596587913714685,2.314522809901807
ELEMOSM008,TechPro Smartphones Edge 13,Electronics,Mobile,Smartphones,TechPro,2.2986155121318754,2.187089749176208,2.0771352939668217
ELEMOSM009,Innovate Smartphones Plus 2024,Electronics,Mobile,Smartphones,Innovate,2.203735379806133,2.3575062635891078,2.5137587607758123
ELEMOSM010,Innovate Smartphones Max XL,Electronics,Mobile,Smartphones,Innovate,2.86660939923604,3.050858025086162,3.1726975202858205
ELEMOSM011,TechPro Smartphones Smart S,Electronics,Mobile,Smartphones,TechPro,2.239300805486806,2.2574961148450803,2.528516979359072
ELEMOSM012,Electra Smartphones Ultra 11,Electronics,Mobile,Smartphones,Electra,3.110887717726976,2.988631652109109,3.4480795989564315
ELEMOWE001,CircuitCity Wearables Elite 2025,Electronics,Mobile,Wearables,CircuitCity,2.131902579253722,2.0941884036048326,2.0192014359112602
ELEMOWE002,Innovate Wearables Max S,Electronics,Mobile,Wearables,Innovate,3.1257456422712044,2.7981546794281766,3.4356764152534787
ELEMOWE003,CircuitCity Wearables Plus XL,Electronics,Mobile,Wearables,CircuitCity,2.6943978643612034,2.5288965866557955,2.6701330768282228
ELEMOWE004,TechPro Wearables Plus 4,Electronics,Mobile,Wearables,TechPro,2.1457075800113516,2.3632517346464565,2.097545596262819
ELEMOWE005,Innovate Wearables Pro 2025,Electronics,Mobile,Wearables,Innovate,2.4311669177114874,2.5392189583859484,2.4848703329107082
ELEMOWE006,CircuitCity Wearables Ultra Pro,Electronics,Mobile,Wearables,CircuitCity,2.487907810655982,2.7410894923162,2.8428356347174315
ELEMOWE007,ByteWare Wearables Edge 4,Electronics,Mobile,Wearables,ByteWare,2.3307881833890627,2.224094478020152,2.3732416795841376
ELEMOWE008,Electra Wearables Mini S,Electronics,Mobile,Wearables,Electra,2.3772338215312576,2.433658100315329,2.121095945065893
ELEMOWE009,Electra Wearables Edge 7,Electronics,Mobile,Wearables,Electra,2.6830496857723047,2.55119680482754,2.40040308187035
ELEMOWE010,CircuitCity Wearables Elite S,Electronics,Mobile,Wearables,CircuitCity,3.2524474712586016,3.00801044431949,3.057614815801466
ELEMOWE011,Electra Wearables Smart XL,Electronics,Mobile,Wearables,Electra,2.6644480322090587,2.512049696945263,3.041286573964668
ELEMOWE012,Innovate Wearables Edge XL,Electronics,Mobile,Wearables,Innovate,2.9210104615436476,2.7544306708730955,3.1466351342770853
ELEMOAC001,Electra Accessories Ultra X,Electronics,Mobile,Accessories,Electra,2.999745762474874,3.0812408550843475,2.923691832274652
ELEMOAC002,TechPro Accessories Edge 2025,Electronics,Mobile,Accessories,TechPro,2.866726390767884,2.6119624648239115,2.923063822973237
ELEMOAC003,CircuitCity Accessories Pro 2024,Electronics,Mobile,Accessories,CircuitCity,3.1499628893629787,2.9393569342274364,3.028412383285654
