STORE_ID,BRAND,STORE_NAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,OPENDATE,CLOSEDATE,STORE_TYPE,REGION
S00001,PrimeGoods,PrimeGoods - Hillsboro,5735 NE Washington Pl,Other,Hillsboro,OR,74820,2015-01-10 00:00:00,Other,Express,West
S00002,MegaShop,MegaShop Indianapolis Eastside,3557  Cedar Ct,Unit 89,Indianapolis,IN,33483-1775,2012-03-23 00:00:00,Other,Express,Midwest
S00003,MarketExpress,MarketExpress - Las Vegas,7870 W Church Ave,Other,Las Vegas,NV,49099,2021-09-23 00:00:00,Other,Outlet,West
S00004,MegaShop,MegaShop - Oklahoma City,3105 N Washington Pl,Other,Oklahoma City,OK,80592,06/30/2015,Other,Mall,Southwest
S00005,PrimeGoods,PrimeGoods - Charlotte,8756 SW Maple Ln,Suite 848,Charlotte,NC,32299,2019-06-10 00:00:00,Other,Express,Southeast
S00006,AsterionHouse,AsterionHouse - Miami,1307 NE Maple Ct,Other,Miami,FL,13748,2014-02-24 00:00:00,2028-02-21 00:00:00,Mall,Southeast
S00007,LuxeRetail,LuxeRetail - Miami,699  Oak Dr,Building A,Miami,FL,36309,2020-10-10 00:00:00,Other,Mall,Southeast
S00008,LuxeRetail,LuxeRetail Macon Downtown,9987 SW River Rd,Floor 4,Macon,GA,93879,2014-04-30 00:00:00,Other,Express,Southeast
S00009,MegaShop,MegaShop Detroit Center,5424  Cedar Ln,Other,Detroit,MI,52642,2016-10-17 00:00:00,2029-10-14 00:00:00,Flagship,Midwest
S00010,AsterionHouse,AsterionHouse - Warren,957 E Main Rd,Floor 4,Warren,MI,96416,2007-02-23 00:00:00,Other,Outlet,Midwest
S00011,FamilyStore,FamilyStore Indianapolis Eastside,7997 NW Maple Blvd,Other,Indianapolis,IN,Other,2014-01-13 00:00:00,Other,Mall,Midwest
S00012,PrimeGoods,PrimeGoods - Savannah,5443 SW Park Ave,Other,Savannah,GA,92074,2019-05-07 00:00:00,Other,Street,Southeast
S00013,MarketExpress,MarketExpress - El Paso,4496 N Pine Way,Building B,El Paso,TX,Other,2019-10-14 00:00:00,Other,Mall,Southwest
S00014,FamilyStore,FamilyStore - Erie,4143  Park Rd,Suite 469,Erie,PA,35945,2014-11-05 00:00:00,Other,Street,Northeast
S00015,MegaShop,MegaShop - Houston,3344 SE Church Ln,Other,Houston,TX,77215,2017-06-11 00:00:00,Other,Street,Southwest
S00016,EssentialsPlus,EssentialsPlus Peoria Uptown,2850 E Hill Blvd,Other,Peoria,IL,14611,2014-12-31 00:00:00,Other,Express,Midwest
S00017,PrimeGoods,PrimeGoods - Chicago,3914 E Green Ave,Suite 853,Chicago,IL,25305,2008-02-10 00:00:00,Other,Mall,Midwest
S00018,AsterionHouse,AsterionHouse - San Diego,4080 S Main Way,Other,San Diego,CA,54811,2020-09-26 00:00:00,Other,Superstore,West
S00019,QuickBuy,QuickBuy - Rochester,4172 W View Rd,Other,Rochester,NY,99112,2014-08-17 00:00:00,Other,Mall,Northeast
S00020,FamilyStore,FamilyStore - Cleveland,4847 S Hill St,Unit 46,Cleveland,OH,93460,2013-05-29 00:00:00,Other,Street,Midwest
S00021,AsterionHouse,AsterionHouse - Mesa,8906  Washington Blvd,Floor 4,Mesa,AZ,52918,2014-10-31 00:00:00,2023-10-29,Boutique,Southwest
S00022,EssentialsPlus,EssentialsPlus - Spartanburg,6191  Forest St,Other,Spartanburg,SC,34504,2015-11-19 00:00:00,Other,Mall,Southeast
S00023,MarketExpress,MarketExpress - Los Angeles,6133  View Blvd,Other,Los Angeles,CA,60990,2010-06-13 00:00:00,Other,Express,West
S00024,FamilyStore,FamilyStore - Rochester,8703 E Church Way,Other,Rochester,NY,90642,2014-07-07 00:00:00,Other,Mall,Northeast
S00025,MarketExpress,MarketExpress - Fort Wayne,250 SE Elm Blvd,Other,Fort Wayne,IN,34285,2020-06-07 00:00:00,Other,Boutique,Midwest
S00026,AsterionHouse,AsterionHouse - South Bend,4638  Pine St,Other,South Bend,IN,97369,2016-02-26 00:00:00,Other,Street,Midwest
S00027,MegaShop,MegaShop Toledo Uptown,9912 NE Church Blvd,Other,Toledo,OH,21314,2013-08-09 00:00:00,Other,Street,Midwest
S00028,EssentialsPlus,EssentialsPlus - Warren,2879 W Main Rd,Other,Warren,MI,10302,2019-07-19 00:00:00,Other,Outlet,Midwest
S00029,AsterionHouse,AsterionHouse - Lawton,3346 NE Pine Blvd,Suite 730,Lawton,OK,57915-5632,2024-02-17 00:00:00,Other,Outlet,Southwest
S00030,FamilyStore,FamilyStore - Albany,2740  Oak Pl,Other,Albany,NY,37285,2020-10-07 00:00:00,Other,Mall,Northeast
S00031,EssentialsPlus,EssentialsPlus - Tulsa,8660  Maple Dr,Other,Tulsa,OK,63441,2015-11-23 00:00:00,Other,Mall,Southwest
S00032,EssentialsPlus,EssentialsPlus Trenton Downtown,2027 SW Elm Ave,Other,Trenton,NJ,49809,2018-10-08 00:00:00,Other,Warehouse,Northeast
S00033,EssentialsPlus,EssentialsPlus Dallas Plaza,2636 W Main Pl,Other,Dallas,TX,Other,2018-09-21 00:00:00,Other,Superstore,Southwest
S00034,BudgetShop,BudgetShop - Hillsboro,6566 SE Market St,Floor 5,Hillsboro,OR,51157,2016-04-20 00:00:00,Other,Express,West
S00035,BudgetShop,BudgetShop - Tampa,951 S Maple Dr,Other,Tampa,FL,56197,2018-11-18 00:00:00,Other,Outlet,Southeast
S00036,EssentialsPlus,EssentialsPlus - Toledo,794 E Cedar Rd,Floor 6,Toledo,OH,12443,2021-04-23 00:00:00,Other,Street,Midwest
S00037,AsterionHouse,AsterionHouse Miami Westside,3798  Main Ln,Other,Miami,FL,29256,05/16/2011,Other,Street,Southeast
S00038,AsterionHouse,AsterionHouse - Spokane,8667  Main Blvd,Unit 71,Spokane,WA,Other,2013-12-30 00:00:00,Other,Street,West
S00039,EssentialsPlus,EssentialsPlus - Wilmington,9182  River Pl,Other,Wilmington,NC,96444,2014-10-27 00:00:00,Other,Mall,Southeast
S00040,EssentialsPlus,EssentialsPlus - Salem,1482  Oak St,Building E,Salem,OR,86534-6954,2001-08-29 00:00:00,Other,Mall,West
S00041,AsterionHouse,AsterionHouse - Norman,4548  Elm Ln,Other,Norman,OK,14425-9966,2012-07-08 00:00:00,Other,Street,Southwest
S00042,EssentialsPlus,EssentialsPlus - Spartanburg,1556  Elm Ct,Other,Spartanburg,SC,27771,2020-10-27 00:00:00,Other,Outlet,Southeast
S00043,PrimeGoods,PrimeGoods - Augusta,2542  Hill Ave,Floor 2,Augusta,GA,41653,2013-08-02 00:00:00,Other,Street,Southeast
S00044,EssentialsPlus,EssentialsPlus - Las Cruces,9901  Cedar Ave,Suite 462,Las Cruces,NM,67492,2015-08-30 00:00:00,Other,Outlet,Southwest
S00045,AsterionHouse,AsterionHouse - Paterson,1763  Main Ave,Other,Paterson,NJ,45111,02/22/2006,Other,Flagship,Northeast
S00046,EssentialsPlus,EssentialsPlus - Greenville,6961 S Hill Ct,Other,Greenville,SC,10338,2008-10-04 00:00:00,Other,Mall,Southeast
S00047,LuxeRetail,LuxeRetail - Buffalo,7125 NW Washington Ln,Other,Buffalo,NY,51786,10/18/2009,Other,Mall,Northeast
S00048,PrimeGoods,PrimeGoods - Allentown,2984 NE Washington Way,Other,Allentown,PA,17564,08/08/2018,Other,Street,Northeast
S00049,LuxeRetail,LuxeRetail - Santa Fe,2033 NE Cedar Ct,Other,Santa Fe,NM,60072,2012-05-26 00:00:00,Other,Mall,Southwest
